분류,기존 파일명,새 파일명
skill,c49073e8d10abaf9fea97681.webp,(키라는 친구 같은 거 없어) 키라 패시브.webp
skill,994afb478dacce8b78937910.webp,(페트라 조합) 마르실 궁극기.webp
skill,f8b79540b067cc9e4266a3cf.webp,(페트라 조합) 마르실 기본기.webp
skill,9b199cdb638f642013128148.webp,(페트라 조합) 마르실 특수기.webp
skill,9aba59b405c32286f1e3ec0a.webp,(페트라 조합) 마르실 패시브.webp
skill,2e12b91e319e03edd4051af5.webp,(페트라 조합) 타냐 궁극기.webp
skill,073e083438f60bbd1025e19b.webp,(페트라 조합) 타냐 기본기.webp
skill,c28178c737138ed1c34ab42b.webp,(페트라 조합) 타냐 특수기.webp
skill,5011066a2848e39c2b568db2.webp,(페트라 조합) 타냐 패시브.webp
skill,d2d500503fee2d59c5020c50.webp,(페트라 조합) 페트라 궁극기.webp
skill,f3aaf84ccc708b104da087ea.webp,(페트라 조합) 페트라 기본기.webp
skill,49923f580c852c9902351101.webp,(페트라 조합) 페트라 특수기.webp
skill,e4221c61822c9ae8a1fdf742.webp,(페트라 조합) 페트라 패시브.webp
skill,c7dcabb046af13a6f4ceb9d1.webp,(펜릴 소대) 유미나 궁극기.webp
skill,3b0d18064ad9292289695efc.webp,(펜릴 소대) 유미나 기본기.webp
skill,a4e8b0b40f67c194b60fa95c.webp,(펜릴 소대) 유미나 특수기.webp
skill,63c0117a108b2401eabf830f.webp,(펜릴 소대) 유미나 패시브.webp
skill,94afd58823b8d9fe0615cf8e.webp,(펜릴 소대) 힐데 궁극기.webp
skill,773cce5396b19ffaa82c41f3.webp,(펜릴 소대) 힐데 기본기.webp
skill,0b4360950b10ce8af8517853.webp,(펜릴 소대) 힐데 특수기.webp
skill,de76221b5daf40398cb7abb3.webp,(펜릴 소대) 힐데 패시브.webp
skill,3523e0f19c4cb83d0d85ce1c.webp,(폴른 호크) 로자리아 궁극기.webp
skill,2a404bcdf5266263f14da311.webp,(폴른 호크) 로자리아 기본기.webp
skill,6fe3eb2070e25e6ab8352a0c.webp,(폴른 호크) 로자리아 특수기.webp
skill,598422e5f3fb11ff28ce36e0.webp,(폴른 호크) 로자리아 패시브.webp
skill,0b38002e14af5b13c43776d1.webp,(풍월문) 린 궁극기.webp
skill,2ed2491f39f139c3366fd69b.webp,(풍월문) 린 기본기.webp
skill,5609ca0e34edabc6d1b354e4.webp,(풍월문) 린 특수기.webp
skill,783d40bc85b8917a09009304.webp,(풍월문) 린 패시브.webp
skill,a22ca2ceb471107107449df1.webp,(풍월문) 세르팡 궁극기.webp
skill,5f59a290d53f1db3892e7be5.webp,(풍월문) 세르팡 기본기.webp
skill,15f2dc8f51075933bcfdb6ac.webp,(풍월문) 세르팡 특수기.webp
skill,529f1ef2ee11bae7068d26ca.webp,(풍월문) 세르팡 패시브.webp
skill,53f75676bce35c21524b10f8.webp,(플로리스 블루 로즈) 클레어 궁극기.webp
skill,303e09f7d66cf7e97bee1a9a.webp,(플로리스 블루 로즈) 클레어 기본기.webp
skill,90ac99352f5f0f253693608a.webp,(플로리스 블루 로즈) 클레어 특수기.webp
skill,7d4b6b73aba74dde1f1dba83.webp,(플로리스 블루 로즈) 클레어 패시브.webp
skill,7b5b5498cd06c476b94363c4.webp,(하트 오브 모나스티르) 샤를 궁극기.webp
skill,9028e165a3979d3dd683876e.webp,(하트 오브 모나스티르) 샤를 기본기.webp
skill,56668a2075d6d8d5d55cf732.webp,(하트 오브 모나스티르) 샤를 특수기.webp
skill,0b48fc1e3b4d0152241e631c.webp,(하트 오브 모나스티르) 샤를 패시브.webp
skill,46070908e0b0b190e29f8a7f.webp,(헬 세이비어) 할리 궁극기.webp
skill,5b33eea8a62dcbf6e121e7fa.webp,(헬 세이비어) 할리 기본기.webp
skill,c07ef238cda3fdcffabfdeae.webp,(헬 세이비어) 할리 특수기.webp
skill,6c6ab6c1e7a3114abb3e0a3d.webp,(헬 세이비어) 할리 패시브.webp
skill,c43557e52b1b7baf31e4a4c0.webp,(화이트 펄 트랩) 루나 궁극기.webp
skill,ae4fdbb1e6c1e2bc1e5a2734.webp,(화이트 펄 트랩) 루나 기본기.webp
skill,7e6ec40f31d8f85a27d4c488.webp,(화이트 펄 트랩) 루나 특수기.webp
skill,ca1fecdb8923721a246adf57.webp,(화이트 펄 트랩) 루나 패시브.webp
